order_number,center_id,city,model,diopter,cyl,qty,order_date,ship_date,delivery_date,freight_mode
561155,ELW,Warmond,PC580,20.5,NA,3,11-09-25,11-09-25,12-09-25,RUSH
561155,ELW,Warmond,PC580,21.0,NA,8,11-09-25,11-09-25,12-09-25,RUSH
561155,ELW,Warmond,PC580,21.5,NA,4,11-09-25,11-09-25,12-09-25,RUSH
561155,ELW,Warmond,PC580,22.0,NA,5,11-09-25,11-09-25,12-09-25,RUSH
561155,ELW,Warmond,PC580,22.5,NA,2,11-09-25,11-09-25,12-09-25,RUSH
561155,ELW,Warmond,PC580,23.0,NA,2,11-09-25,11-09-25,12-09-25,RUSH
561155,ELW,Warmond,PC580,23.5,NA,1,11-09-25,11-09-25,12-09-25,RUSH
561155,ELW,Warmond,PC580,24.5,NA,1,11-09-25,11-09-25,12-09-25,RUSH
561553,ELW,Warmond,PC580,18.5,NA,1,19-09-25,19-09-25,19-09-25,RUSH
561553,ELW,Warmond,PC580,19.0,NA,1,19-09-25,19-09-25,19-09-25,RUSH
561553,ELW,Warmond,PC580,19.5,NA,2,19-09-25,19-09-25,19-09-25,RUSH
561553,ELW,Warmond,PC580,20.5,NA,3,19-09-25,19-09-25,19-09-25,RUSH
561553,ELW,Warmond,PC580,21.0,NA,2,19-09-25,19-09-25,19-09-25,RUSH
561553,ELW,Warmond,PC580,21.5,NA,2,19-09-25,19-09-25,19-09-25,RUSH
561553,ELW,Warmond,PC580,22.0,NA,1,19-09-25,19-09-25,19-09-25,RUSH
561553,ELW,Warmond,PC580,22.5,NA,4,19-09-25,19-09-25,19-09-25,RUSH
561553,ELW,Warmond,PC580,25.0,NA,1,19-09-25,19-09-25,19-09-25,RUSH
561553,ELW,Warmond,PC580,26.0,NA,1,19-09-25,19-09-25,19-09-25,RUSH
562134,ELW,Warmond,PC580,10.0,NA,1,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,15.0,NA,1,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,15.5,NA,1,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,16.0,NA,2,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,16.5,NA,1,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,17.5,NA,2,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,18.5,NA,1,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,19.0,NA,2,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,19.5,NA,3,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,20.0,NA,2,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,20.5,NA,2,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,21.5,NA,4,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,22.0,NA,3,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,22.5,NA,1,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,23.5,NA,1,30-09-25,30-09-25,30-09-25,RUSH
562134,ELW,Warmond,PC580,25.0,NA,1,30-09-25,30-09-25,30-09-25,RUSH
562553,ELW,Warmond,PC580,10.0,NA,1,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,10.5,NA,3,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,14.5,NA,1,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,16.5,NA,1,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,17.5,NA,3,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,18.0,NA,1,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,18.5,NA,3,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,19.0,NA,2,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,19.5,NA,2,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,20.0,NA,5,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,20.5,NA,2,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,21.0,NA,1,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,21.5,NA,1,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,22.0,NA,4,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,22.5,NA,1,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,23.0,NA,1,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,24.0,NA,4,07-10-25,07-10-25,08-10-25,RUSH
562553,ELW,Warmond,PC580,29.5,NA,2,07-10-25,07-10-25,08-10-25,RUSH
562794,ELW,Warmond,PC580,14.0,NA,1,10-10-25,10-10-25,10-10-25,RUSH
